a,v0,ecarts,ecartsA,ecartsV,grad,diffA,diffV
1.899931389795952,8.33,7.963779825412884,7.963848435616932,0,6.861020404791417,6.861020404791417,0
1.8998627865900803,8.33,7.963309118521046,7.963377721726918,0,6.860320587165346,6.860320587165346,0
1.899794187469206,8.33,7.9628384962415115,7.962907095362386,0,6.859912087442409,6.859912087442409,0
1.899725579911713,8.33,7.965193186490625,7.965261794048118,0,6.8607557492939,6.8607557492939,0
1.8996569704033024,8.33,7.964722480852855,7.964791090361266,0,6.860950841058865,6.860950841058865,0
1.8995883558283269,8.33,7.964251736237332,7.964320350812308,0,6.861457497553402,6.861457497553402,0
1.899519733009019,8.33,7.963780909638221,7.9638495324575285,0,6.862281930786195,6.862281930786195,0
1.8994510987083308,8.33,7.963309957198033,7.963378591498721,0,6.86343006881529,6.86343006881529,0
1.899382449629623,8.33,7.9628388342327385,7.962907483311446,0,6.864907870784974,6.864907870784974,0
1.8993137824268218,8.33,7.9623674952517245,7.962436162454526,0,6.866720280118698,6.866720280118698,0
1.89924509369737,8.33,7.961895894021533,7.961964582750985,0,6.86887294518712,6.86887294518712,0
1.8991763799863093,8.33,7.961423983527993,7.961492697239054,0,6.871371106065282,6.871371106065282,0
1.899107637789316,8.33,7.960951715989812,7.961020458186805,0,6.874219699337657,6.874219699337657,0
1.899038863491508,8.33,7.9604790427286165,7.960547817026424,0,6.877429780782761,6.877429780782761,0
1.898970053796528,8.33,7.960005914296696,7.960074723991676,0,6.8809694980132,6.8809694980132,0
1.8989012049049498,8.33,7.959532284460949,7.959601133352527,0,6.884889157809936,6.884889157809936,0
1.8988323131598244,8.33,7.959058100577646,7.959126992322772,0,6.889174512547668,6.889174512547668,0
1.8987633748709176,8.33,7.958583311799237,7.958652250088144,0,6.893828890675024,6.893828890675024,0
1.898694386316064,8.33,7.958107866724772,7.958176855279626,0,6.898855485371057,6.898855485371057,0
1.8986253437431944,8.33,7.9576317134107875,7.957700755983657,0,6.904257286954873,6.904257286954873,0
1.8985562433678855,8.33,7.957154799389533,7.957223899764842,0,6.910037530882817,6.910037530882817,0
1.8984870813843444,8.33,7.956677071667427,7.956746233650968,0,6.916198354112168,6.916198354112168,0
1.89841785396117,8.33,7.9561984767901235,7.956267704213298,0,6.922742317438945,6.922742317438945,0
1.8983485572464303,8.33,7.9557189608312875,7.955788257546027,0,6.929671473976383,6.929671473976383,0
1.8982791873657852,8.33,7.9552384694207925,7.955307839301438,0,6.936988064509818,6.936988064509818,0
1.8982097404280052,8.33,7.954756947742319,7.954826394680099,0,6.9446937779993325,6.9446937779993325,0
1.8981402125257385,8.33,7.954274340572633,7.9543438684749,0,6.9527902266663935,6.9527902266663935,0
1.8980707166955786,8.33,7.953790709242731,7.953860205072891,0,6.9495830159915775,6.9495830159915775,0
1.8980011543661228,8.33,7.9533075427327855,7.953377105062241,0,6.956232945576345,6.956232945576345,0
1.8979315005397521,8.33,7.952823289186155,7.952892943012526,0,6.965382637069694,6.965382637069694,0
1.8978617513490623,8.33,7.952337745991049,7.952407495181739,0,6.974919068980511,6.974919068980511,0
1.8977919028113832,8.33,7.951850857056454,7.951920705594133,0,6.984853767910692,6.984853767910692,0
1.8977219509786516,8.33,7.951362565004713,7.9514325168374445,0,6.9951832731618415,6.9951832731618415,0
1.8976518918998049,8.33,7.950872812550914,7.950942871629761,0,7.005907884671813,7.005907884671813,0
1.8975817216192605,8.33,7.95038154212515,7.950451712405695,0,7.017028054434603,7.017028054434603,0
1.8975114361863823,8.33,7.949888695867491,7.9499589813003695,0,7.028543287823651,7.028543287823651,0
1.8974410316454056,8.33,7.949394215682679,7.949464620223655,0,7.040454097673176,7.040454097673176,0
1.8973705040494457,8.33,7.948898043189897,7.948968570785857,0,7.052759595982393,7.052759595982393,0
1.897299849454575,8.33,7.948400119806622,7.948470774401493,0,7.065459487076708,7.065459487076708,0
1.8972290622081647,8.33,7.947900385003596,7.947971172250006,0,7.078724641029765,7.078724641029765,0
1.8971581385704988,8.33,7.947398748150929,7.947469671788595,0,7.092363766592057,7.092363766592057,0
1.8970870761321952,8.33,7.946895172409683,7.946966234847986,0,7.106243830357072,7.106243830357072,0
