a,v0,ecarts,ecartsA,ecartsV,grad,diffA,diffV
2,8.330002942579826,28.365157127260126,0,28.36515712725909,10.373923942097463,0,-10.373923942097463
2,8.33000618747534,28.36512077349624,0,28.365120773495097,11.439738045737613,0,-11.439738045737613
2,8.330009492830072,28.36508068489225,0,28.365080684891083,11.652900866465643,0,-11.652900866465643
2,8.330012939262058,28.365039849444187,0,28.365039849442972,12.150280781497713,0,-12.150280781497713
2,8.330016153911629,28.364997271181757,0,28.364997271180624,11.333156635373598,0,-11.333156635373598
2,8.330019912728591,28.36495755651785,0,28.364957556516526,13.251622021925868,0,-13.251622021925868
2,8.330022976209786,28.36491111917126,0,28.36491111917018,10.800249583553523,0,-10.800249583553523
2,8.330026160613622,28.36487327226353,0,28.364873272262408,11.226575225009583,0,-11.226575225009583
2,8.330029889182562,28.364833931534974,0,28.36483393153366,13.145040611561853,0,-13.145040611561853
2,8.33003327512075,28.364787868196153,0,28.36478786819496,11.937117960769683,0,-11.937117960769683
2,8.330036812211675,28.364746037873065,0,28.364746037871818,12.470025012589758,0,-12.470025012589758
2,8.330040359374319,28.364702340295267,0,28.364702340294016,12.505552149377763,0,-12.505552149377763
2,8.330043835991425,28.36465851839478,0,28.364658518393554,12.256862191861728,0,-12.256862191861728
2,8.330047766074376,28.364615568125004,0,28.364615568123618,13.855583347321954,0,-13.855583347321954
2,8.3300516961506,28.364567015839803,0,28.364567015838418,13.855583347321954,0,-13.855583347321954
2,8.3300548603604,28.364518463768533,0,28.364518463767418,11.155520951433573,0,-11.155520951433573
2,8.330058145490888,28.3644793732905,0,28.364479373289342,11.581846592889633,0,-11.581846592889633
2,8.330061541464477,28.364438789054333,0,28.364438789053136,11.972645097557688,0,-11.972645097557688
2,8.330064937433045,28.36439683556531,0,28.36439683556411,11.972645097557688,0,-11.972645097557688
2,8.330069139560042,28.364354882236498,0,28.364354882235016,14.814816040598089,0,-14.814816040598089
2,8.33007225336068,28.36430296987221,0,28.36430296987111,10.977885267493548,0,-10.977885267493548
2,8.330075578774325,28.364264502603653,0,28.36426450260248,11.723955140041653,0,-11.723955140041653
2,8.330079105723083,28.364223421200712,0,28.36422342119947,12.434497875801753,0,-12.434497875801753
2,8.33008258228152,28.36417985018317,0,28.364179850181944,12.256862191861728,0,-12.256862191861728
2,8.330085917757172,28.364136901774938,0,28.36413690177376,11.759482276829658,0,-11.759482276829658
2,8.330088960996397,28.364095696361048,0,28.364095696359975,10.729195309977513,0,-10.729195309977513
2,8.330092407309097,28.364058101226505,0,28.36405810122529,12.150280781497713,0,-12.150280781497713
2,8.330096276847373,28.364015526752368,0,28.364015526751004,13.642420526593924,0,-13.642420526593924
2,8.330099975071732,28.36396772402742,0,28.363967724026118,13.038459201197838,0,-13.038459201197838
2,8.330103723674583,28.363922037763956,0,28.363922037762634,13.216094885137863,0,-13.216094885137863
2,8.3301072908876,28.363875729264556,0,28.3638757292633,12.576606422953773,0,-12.576606422953773
2,8.330110706942216,28.363831661682006,0,28.363831661680802,12.043699371133698,0,-12.043699371133698
2,8.330114384989649,28.363789461536125,0,28.36378946153483,12.967404927621828,0,-12.967404927621828
2,8.330118103338494,28.363744024979997,0,28.363744024978686,13.109513474773848,0,-13.109513474773848
2,8.33012173099003,28.36369809067579,0,28.36369809067451,12.789769243681803,0,-12.789769243681803
