a,v0,ecarts,ecartsA,ecartsV,grad,diffA,diffV
1.8284859635623003,8.33,7.500037052784888,7.500037052785374,0,4.858335955759685,4.858335955759685,0
1.828485929988991,8.33,7.500036851030918,7.500036851031366,0,4.476419235288631,4.476419235288631,0
1.82848589062029,8.33,7.500036665133772,7.500036665134297,0,5.24913446042774,5.24913446042774,0
1.828485855648095,8.33,7.500036447149627,7.5000364471500935,0,4.6629367034256575,4.6629367034256575,0
1.828485806020886,8.33,7.500036253505813,7.500036253506475,0,6.616929226765933,6.616929226765933,0
1.828485750531673,8.33,7.500035978716122,7.500035978716862,0,7.398526236102043,7.398526236102043,0
1.8284857053009718,8.33,7.500035671465493,7.5000356714660965,0,6.03073146976385,6.03073146976385,0
1.828485671727669,8.33,7.500035421016256,7.500035421016704,0,4.476419235288631,4.476419235288631,0
1.8284856163050751,8.33,7.500035235113912,7.500035235114651,0,7.389644451905042,7.389644451905042,0
1.828485597320173,8.33,7.500034928227649,7.500034928227902,0,2.531308496145357,2.531308496145357,0
1.8284855783352711,8.33,7.500034823103058,7.500034823103311,0,2.531308496145357,2.531308496145357,0
1.828485544828585,8.33,7.500034717978934,7.500034717979381,0,4.46753745109163,4.46753745109163,0
1.8284855039277805,8.33,7.500034532442876,7.500034532443421,0,5.453415496958769,5.453415496958769,0
1.828485460095975,8.33,7.500034305962743,7.500034305963327,0,5.844214001626824,5.844214001626824,0
1.8284854032078888,8.33,7.500034063251501,7.50003406325226,0,7.5850437042390695,7.5850437042390695,0
1.8284853711000943,8.33,7.500033748241047,7.500033748241475,0,4.281019982954604,4.281019982954604,0
1.8284852995570025,8.33,7.500033570446554,7.500033570447508,0,9.539036227579345,9.539036227579345,0
1.8284852586562053,8.33,7.500033174281023,7.500033174281568,0,5.453415496958769,5.453415496958769,0
1.8284852280139152,8.33,7.5000329477940415,7.50003294779445,0,4.085620730620576,4.085620730620576,0
1.82848517985223,8.33,7.500032778111358,7.500032778112,0,6.421529974431905,6.421529974431905,0
1.8284851477444408,8.33,7.500032511415861,7.500032511416289,0,4.281019982954604,4.281019982954604,0
1.8284850981172576,8.33,7.500032333616186,7.500032333616848,0,6.616929226765933,6.616929226765933,0
1.8284850572164666,8.33,7.500032058801465,7.50003205880201,0,5.453415496958769,5.453415496958769,0
1.8284850046582855,8.33,7.5000318323079425,7.500031832308643,0,7.007727731433988,7.007727731433988,0
1.8284849622919968,8.33,7.500031541257976,7.500031541258541,0,5.6488147492927965,5.6488147492927965,0
1.8284849243888244,8.33,7.500031306647253,7.500031306647759,0,5.053735208093713,5.053735208093713,0
1.8284848820891517,8.33,7.500031096750097,7.500031096750661,0,5.639932965095795,5.639932965095795,0
1.82848483832398,8.33,7.500030862505522,7.500030862506105,0,5.835332217429823,5.835332217429823,0
1.8284847726429176,8.33,7.500030620143061,7.500030620143937,0,8.757439218243235,8.757439218243235,0
1.828484721550248,8.33,7.500030256412445,7.500030256413126,0,6.8123284790999605,6.8123284790999605,0
1.8284846923734703,8.33,7.500029973468528,7.500029973468917,0,3.8902214782865485,3.8902214782865485,0
1.8284846704575808,8.33,7.500029811890787,7.500029811891079,0,2.922107000813412,2.922107000813412,0
1.8284846354188034,8.33,7.5000296905227675,7.500029690523235,0,4.671818487622659,4.671818487622659,0
1.828484585791639,8.33,7.500029496480695,7.500029496481357,0,6.616929226765933,6.616929226765933,0
1.828484553683864,8.33,7.500029221647112,7.50002922164754,0,4.281019982954604,4.281019982954604,0
1.8284845171795896,8.33,7.5000290438348864,7.500029043835373,0,4.867217739956686,4.867217739956686,0
1.8284844544295429,8.33,7.500028841673435,7.500028841674272,0,8.36664071357518,8.36664071357518,0
1.8284844208562712,8.33,7.5000284941601905,7.500028494160638,0,4.476419235288631,4.476419235288631,0
1.8284843974748861,8.33,7.500028308229639,7.50002830822995,0,3.1175062531474396,3.1175062531474396,0
1.8284843609706158,8.33,7.500028178740105,7.500028178740592,0,4.867217739956686,4.867217739956686,0
1.8284843273973463,8.33,7.500027976575338,7.500027976575786,0,4.476419235288631,4.476419235288631,0
1.8284842821666927,8.33,7.500027790641446,7.500027790642049,0,6.03073146976385,6.03073146976385,0
1.8284842485934252,8.33,7.500027540146397,7.500027540146845,0,4.476419235288631,4.476419235288631,0
1.8284842135546586,8.33,7.500027354210136,7.500027354210603,0,4.671818487622659,4.671818487622659,0
1.8284841522701258,8.33,7.500027160157236,7.500027160158053,0,8.171241461241152,8.171241461241152,0
1.8284841216278607,8.33,7.500026820747109,7.500026820747517,0,4.085620730620576,4.085620730620576,0
1.8284840792615995,8.33,7.500026651041649,7.500026651042214,0,5.6488147492927965,5.6488147492927965,0
1.828484041358452,8.33,7.500026416403682,7.500026416404188,0,5.053735208093713,5.053735208093713,0
1.828483985935925,8.33,7.500026206481842,7.500026206482581,0,7.389644451905042,7.389644451905042,0
1.828483946500667,8.33,7.500025899530868,7.500025899531394,0,5.258016244624741,5.258016244624741,0
1.8284839202549048,8.33,7.500025681120844,7.500025681121194,0,3.4994229736184934,3.4994229736184934,0
1.8284839244464153,8.33,0.9051491195180169,0.9051491195175538,0,-4.630740235711528,-4.630740235711528,0
1.828483928974573,8.33,0.9051490992308602,0.9051490992303599,0,-5.002664948960955,-5.002664948960955,0
1.8284839330133358,8.33,0.9051490773140775,0.9051490773136313,0,-4.461986335968504,-4.461986335968504,0
1.828483886317196,8.33,7.500025606422834,7.500025606423456,0,6.226130722097878,6.226130722097878,0
1.828483890936802,8.33,0.9051492837796496,0.9051492837791393,0,-5.103695244201845,-5.103695244201845,0
1.8284838953423606,8.33,0.9051492614205339,0.9051492614200471,0,-4.867217739956686,-4.867217739956686,0
1.8284839000232664,8.33,0.9051492400971638,0.9051492400966467,0,-5.171418848703979,-5.171418848703979,0
1.8284839044288248,8.33,0.9051492174413598,0.9051492174408731,0,-4.867217739956686,-4.867217739956686,0
1.8284839089268354,8.33,0.9051491961179159,0.905149196117419,0,-4.969358258222201,-4.969358258222201,0
1.8284839138830884,8.33,0.9051491743470106,0.905149174346463,0,-5.475619957451272,-5.475619957451272,0
1.8284839185941413,8.33,0.9051491503581751,0.9051491503576546,0,-5.204725539442734,-5.204725539442734,0
1.8284839227856517,8.33,0.9051491275560577,0.9051491275555946,0,-4.630740235711528,-4.630740235711528,0
1.8284839264264674,8.33,0.9051491072689549,0.9051491072685527,0,-4.022338018216942,-4.022338018216942,0
